neighbourhood,price
Hammersmith and Fulham,256
Hammersmith and Fulham,220
Enfield,150
Lambeth,45
Enfield,162
Greenwich,94
Enfield,162
Croydon,180
Enfield,172
Enfield,162
Newham,95
Haringey,144
Barnet,98
Westminster,96
Kensington and Chelsea,251
Waltham Forest,183
Camden,280
Tower Hamlets,139
Hackney,129
Tower Hamlets,90
Lewisham,86
Barnet,94
Camden,102
Islington,60
Kensington and Chelsea,1093
Barnet,350
Bromley,173
Tower Hamlets,86
Camden,897
Brent,102
Brent,285
Hammersmith and Fulham,130
Camden,125
Lambeth,146
Newham,225
Lambeth,63
Hounslow,352
Westminster,147
Hounslow,255
Barnet,105
Greenwich,124
Hammersmith and Fulham,192
Tower Hamlets,211
Lambeth,155
Tower Hamlets,140
Wandsworth,92
Brent,396
Haringey,1045
Southwark,80
Havering,28
Redbridge,55
Wandsworth,400
Tower Hamlets,58
Islington,421
Barking and Dagenham,145
Southwark,113
Hackney,89
Islington,60
Merton,286
Kensington and Chelsea,360
Enfield,26
Islington,79
Hammersmith and Fulham,102
Kensington and Chelsea,273
Hammersmith and Fulham,315
Lambeth,323
Wandsworth,60
Barnet,82
Hackney,181
Hackney,81
Newham,31
Tower Hamlets,293
Southwark,102
Southwark,102
Merton,52
Lewisham,38
Westminster,143
Westminster,193
Westminster,463
Westminster,193
Sutton,51
Islington,252
Westminster,99
Southwark,59
Harrow,207
Wandsworth,62
Lewisham,62
Haringey,136
Lewisham,172
Kensington and Chelsea,199
Wandsworth,48
Lewisham,106
Kingston upon Thames,96
Camden,59
Wandsworth,378
Tower Hamlets,48
Harrow,43
Haringey,53
Redbridge,45
Hackney,44
Lewisham,245
Enfield,46
Lewisham,147
Islington,262
Tower Hamlets,140
Bexley,617
Wandsworth,45
Camden,150
Hillingdon,32
Westminster,226
Barnet,249
Tower Hamlets,80
Barnet,225
Tower Hamlets,107
Sutton,31
Wandsworth,68
Richmond upon Thames,408
Camden,91
Greenwich,203
Westminster,250
Lambeth,107
Brent,494
Wandsworth,103
Westminster,399
Westminster,72
Hounslow,270
Kensington and Chelsea,1229
Hackney,46
Lewisham,198
Barking and Dagenham,28
Westminster,187
Southwark,285
Greenwich,92
Ealing,404
Westminster,7538
Waltham Forest,78
Lewisham,148
Lambeth,69
Merton,536
Haringey,50
Southwark,238
Tower Hamlets,69
Southwark,170
Kensington and Chelsea,295
Hammersmith and Fulham,65
Richmond upon Thames,38
Hammersmith and Fulham,67
Merton,400
Lewisham,96
Lewisham,90
Wandsworth,164
Westminster,537
Kingston upon Thames,74
Tower Hamlets,117
Hackney,112
Waltham Forest,102
Westminster,1561
Wandsworth,70
Haringey,179
Enfield,36
Harrow,85
Southwark,180
Hackney,231
Hackney,70
Haringey,67
Lambeth,74
Wandsworth,130
Westminster,270
Tower Hamlets,32
Westminster,200
Islington,800
Islington,534
Tower Hamlets,129
Westminster,402
Westminster,155
Merton,468
Kensington and Chelsea,950
Southwark,79
Ealing,56
Redbridge,110
Greenwich,112
Westminster,356
Wandsworth,80
Westminster,210
Enfield,80
Islington,275
Camden,317
Westminster,1395
Westminster,429
Camden,369
Westminster,146
Haringey,108
Westminster,208
Kensington and Chelsea,300
Bromley,104
Waltham Forest,99
Tower Hamlets,221
Waltham Forest,71
Newham,85
Bromley,150
Kensington and Chelsea,186
Haringey,68
Westminster,237
Camden,129
Hammersmith and Fulham,90
Haringey,50
Lambeth,170
Lambeth,180
Newham,65
Hounslow,81
Croydon,49
Barnet,114
Lambeth,136
Wandsworth,180
Lewisham,41
Ealing,125
Wandsworth,245
Westminster,95
Kensington and Chelsea,200
Kensington and Chelsea,91
Westminster,202
Westminster,99
Tower Hamlets,72
Camden,81
Camden,97
Tower Hamlets,228
Kensington and Chelsea,136
Lambeth,165
Kensington and Chelsea,123
Tower Hamlets,361
Kensington and Chelsea,110
Waltham Forest,86
Tower Hamlets,99
Merton,184
Westminster,125
Hackney,60
Westminster,427
Lambeth,136
Newham,177
Hackney,352
Waltham Forest,66
Tower Hamlets,135
Greenwich,160
Hammersmith and Fulham,109
Ealing,70
Tower Hamlets,123
Southwark,340
Kensington and Chelsea,1274
Lewisham,50
Lambeth,95
Kensington and Chelsea,88
Hillingdon,253
Westminster,400
Islington,119
Wandsworth,130
Westminster,255
Ealing,153
Waltham Forest,86
Islington,220
Lambeth,150
Southwark,120
Harrow,126
Tower Hamlets,88
Wandsworth,162
Camden,165
Richmond upon Thames,232
Greenwich,50
Hammersmith and Fulham,96
Hammersmith and Fulham,126
Merton,33
Hackney,89
Tower Hamlets,95
Hackney,144
Lambeth,77
Kensington and Chelsea,164
Southwark,200
Tower Hamlets,85
Barnet,143
Camden,180
Westminster,94
Westminster,346
Kensington and Chelsea,434
Merton,112
Westminster,102
Waltham Forest,115
Haringey,80
Tower Hamlets,206
Greenwich,46
Waltham Forest,178
Lewisham,45
Newham,2000
Kensington and Chelsea,321
Camden,274
Richmond upon Thames,50
Hounslow,83
Southwark,65
Islington,150
Barnet,895
Kensington and Chelsea,270
Westminster,155
Hounslow,81
Lewisham,110
Tower Hamlets,155
Southwark,217
Wandsworth,190
Hammersmith and Fulham,197
Westminster,299
Waltham Forest,108
Kensington and Chelsea,252
Westminster,320
Kingston upon Thames,125
Southwark,87
Bromley,447
Merton,258
Merton,245
Redbridge,65
Kensington and Chelsea,1394
Wandsworth,211
Bexley,94
Tower Hamlets,273
Hammersmith and Fulham,51
Camden,150
Richmond upon Thames,150
Kensington and Chelsea,292
Tower Hamlets,89
Southwark,180
Southwark,45
Redbridge,163
Waltham Forest,58
Enfield,149
Tower Hamlets,44
Havering,39
Camden,104
Bromley,219
Bexley,48
Camden,180
Westminster,93
Wandsworth,54
Barnet,187
Wandsworth,45
Merton,75
Hammersmith and Fulham,168
Wandsworth,32
Westminster,401
Wandsworth,30
Greenwich,89
Westminster,200
Hackney,40
Tower Hamlets,60
Kensington and Chelsea,69
Waltham Forest,199
Haringey,80
Hammersmith and Fulham,124
Enfield,50
Hammersmith and Fulham,105
Greenwich,210
Bromley,147
Newham,235
Lambeth,182
Wandsworth,39
Greenwich,398
Wandsworth,32
Tower Hamlets,120
Wandsworth,30
Barking and Dagenham,136
Camden,1101
Kensington and Chelsea,593
Wandsworth,216
Islington,268
Merton,50
Enfield,41
Bromley,250
Kensington and Chelsea,300
Hammersmith and Fulham,221
Richmond upon Thames,115
Wandsworth,550
Lewisham,145
Merton,95
Kensington and Chelsea,170
Hounslow,68
Lewisham,68
Waltham Forest,39
Wandsworth,139
Tower Hamlets,242
Tower Hamlets,189
Ealing,144
Westminster,276
Camden,185
Southwark,153
Enfield,256
Brent,107
Lewisham,115
Hammersmith and Fulham,1900
Kingston upon Thames,55
Tower Hamlets,172
Hackney,95
Kensington and Chelsea,221
Barnet,170
Kensington and Chelsea,2500
Hammersmith and Fulham,170
Wandsworth,425
Westminster,279
Kensington and Chelsea,452
Merton,68
Kensington and Chelsea,322
Kensington and Chelsea,243
Croydon,42
Haringey,201
Hackney,242
Kensington and Chelsea,212
Redbridge,207
Camden,168
Kensington and Chelsea,191
Lewisham,105
Enfield,68
Kingston upon Thames,98
Lambeth,351
Kensington and Chelsea,380
Lewisham,152
Westminster,125
Camden,1126
Westminster,288
Westminster,307
Hackney,55
Hackney,120
Camden,173
City of London,83
Westminster,356
Merton,450
Lambeth,354
Wandsworth,180
Barking and Dagenham,103
Hillingdon,182
Bexley,50
Brent,56
Kensington and Chelsea,270
Croydon,91
Southwark,257
Wandsworth,188
Kingston upon Thames,235
Wandsworth,375
Brent,86
Lambeth,120
Barking and Dagenham,45
Hackney,113
Hackney,214
Camden,64
Kensington and Chelsea,230
Croydon,144
Croydon,148
Lambeth,260
Waltham Forest,187
Waltham Forest,50
Havering,135
Kensington and Chelsea,112
Wandsworth,125
Kensington and Chelsea,117
Tower Hamlets,309
Kensington and Chelsea,98
Westminster,1100
Lambeth,251
Westminster,1490
Tower Hamlets,58
Camden,272
Barking and Dagenham,83
Camden,94
Westminster,288
Lambeth,234
Brent,529
Lewisham,76
Hammersmith and Fulham,270
Hammersmith and Fulham,153
Wandsworth,85
Merton,190
Lambeth,114
Brent,55
Croydon,85
Bexley,60
Wandsworth,201
Westminster,157
Newham,279
Camden,219
Hammersmith and Fulham,540
Brent,668
Bromley,150
Hounslow,136
Lambeth,127
Westminster,62
Camden,82
Waltham Forest,126
Wandsworth,119
Lambeth,185
Newham,50
Brent,120
Newham,55
Newham,150
Greenwich,195
Barking and Dagenham,44
Camden,62
Lambeth,39
Enfield,79
Tower Hamlets,153
Lambeth,144
Merton,128
Merton,148
Lambeth,56
Lambeth,60
Lambeth,39
Brent,250
Greenwich,31
Hounslow,173
Merton,72
Hounslow,194
Lewisham,84
Haringey,226
Haringey,225
Lambeth,90
Greenwich,144
Kensington and Chelsea,350
Camden,703
Camden,167
Camden,81
Westminster,346
Kensington and Chelsea,131
Hackney,206
Merton,95
Havering,2022
Wandsworth,55
Merton,257
Croydon,42
Hackney,384
Lambeth,326
Brent,42
Hackney,183
Brent,64
Westminster,123
Bexley,38
Southwark,205
Hammersmith and Fulham,163
Westminster,368
Hammersmith and Fulham,170
Tower Hamlets,141
Richmond upon Thames,429
Lambeth,11412
Wandsworth,551
Hammersmith and Fulham,62
Camden,109
Camden,180
Southwark,158
Wandsworth,111
Southwark,206
Southwark,72
Lewisham,79
Westminster,273
Haringey,275
Waltham Forest,110
Lambeth,338
Kensington and Chelsea,320
Camden,177
Kensington and Chelsea,598
Hackney,150
Camden,204
Greenwich,68
Kensington and Chelsea,854
Camden,204
Greenwich,72
Haringey,92
Westminster,58
Hillingdon,146
Lewisham,36
Camden,143
Wandsworth,86
Haringey,56
Hackney,76
Westminster,251
Haringey,177
Ealing,78
Wandsworth,115
Lambeth,126
Southwark,74
Newham,42
Lewisham,54
Southwark,68
Haringey,117
Newham,90
Barnet,75
Hounslow,153
Harrow,57
Hounslow,228
Hounslow,227
Newham,106
Newham,67
Camden,190
Sutton,24
Greenwich,110
Greenwich,139
Greenwich,370
Westminster,180
Barnet,46
Barnet,347
Brent,162
Merton,298
Kensington and Chelsea,279
Wandsworth,150
Kensington and Chelsea,243
Kensington and Chelsea,280
Westminster,283
Kensington and Chelsea,204
Kensington and Chelsea,171
Barnet,165
Hammersmith and Fulham,82
Waltham Forest,38
Kensington and Chelsea,250
Wandsworth,350
Bromley,50
Bromley,50
Tower Hamlets,192
Brent,50
Hackney,315
Richmond upon Thames,466
Croydon,209
Barnet,203
Camden,230
Haringey,74
Kensington and Chelsea,220
Sutton,34
Southwark,307
Waltham Forest,78
Waltham Forest,220
Barnet,324
Westminster,98
Haringey,171
Haringey,175
Croydon,163
Croydon,109
Southwark,133
Newham,140
Haringey,56
Greenwich,181
Greenwich,60
Islington,37
Hounslow,36
Westminster,174
Islington,43
Westminster,57
Westminster,250
Westminster,500
Camden,171
Lewisham,57
Merton,283
Southwark,153
Southwark,273
Hammersmith and Fulham,104
Hammersmith and Fulham,150
Lambeth,59
Hackney,207
Camden,80
Haringey,85
Newham,169
Bromley,139
Ealing,45
Sutton,46
Ealing,135
Kensington and Chelsea,215
Hackney,91
Camden,299
Westminster,300
Hillingdon,34
Harrow,212
Barnet,320
Barnet,35
Lambeth,87
Brent,114
Bromley,143
Westminster,208
Kensington and Chelsea,110
Kensington and Chelsea,122
Hackney,54
Kensington and Chelsea,149
Kensington and Chelsea,115
Hammersmith and Fulham,156
Hammersmith and Fulham,190
Richmond upon Thames,71
Tower Hamlets,55
Lambeth,48
Kensington and Chelsea,378
Camden,230
Kensington and Chelsea,190
Westminster,848
Newham,172
Newham,88
Hackney,149
Waltham Forest,81
Tower Hamlets,286
Islington,69
Tower Hamlets,317
Bexley,380
Lewisham,155
Camden,50
Hackney,140
Ealing,333
Westminster,305
Kingston upon Thames,64
Westminster,286
Barnet,223
Croydon,149
Haringey,96
City of London,322
Westminster,125
Westminster,270
Westminster,305
Hackney,138
Southwark,77
Southwark,342
Waltham Forest,110
Westminster,42
Islington,82
Westminster,200
Havering,86
Tower Hamlets,297
Lambeth,117
Westminster,154
Wandsworth,158
City of London,194
Westminster,257
Kensington and Chelsea,258
Tower Hamlets,72
Hounslow,144
Islington,112
Camden,126
Westminster,896
Lewisham,31
Brent,152
Hackney,153
Brent,152
Westminster,650
Greenwich,79
Barnet,49
Southwark,171
Lambeth,134
Islington,162
Southwark,158
Richmond upon Thames,181
Sutton,231
Lambeth,180
Camden,220
Merton,22
Richmond upon Thames,200
Croydon,155
Richmond upon Thames,136
Tower Hamlets,116
Haringey,80
Ealing,42
Southwark,68
Hounslow,60
Kensington and Chelsea,185
Hackney,216
Ealing,67
Barnet,59
Westminster,190
Bromley,103
Newham,104
Merton,230
Islington,58
Islington,133
Kensington and Chelsea,936
Hillingdon,50
Hillingdon,39
Tower Hamlets,256
Lewisham,400
Richmond upon Thames,600
Tower Hamlets,73
Brent,152
Kensington and Chelsea,484
Camden,235
Kensington and Chelsea,300
Hammersmith and Fulham,143
Hackney,48
Westminster,622
Haringey,72
Islington,114
Hackney,152
Barking and Dagenham,215
Kensington and Chelsea,750
Kensington and Chelsea,160
Barnet,168
Kensington and Chelsea,213
Brent,133
Croydon,57
Wandsworth,45
Hammersmith and Fulham,93
Waltham Forest,131
Southwark,36
Kensington and Chelsea,121
Camden,153
Hammersmith and Fulham,375
Kensington and Chelsea,800
Islington,477
Westminster,114
Westminster,308
Hammersmith and Fulham,450
Ealing,87
Westminster,538
Westminster,910
Lambeth,177
Camden,149
Bromley,50
Hackney,65
Haringey,213
Westminster,375
Lewisham,256
Southwark,119
Camden,450
Islington,65
Kensington and Chelsea,95
Camden,99
Brent,277
Lambeth,106
Waltham Forest,157
Islington,43
Kensington and Chelsea,129
Lewisham,57
Barking and Dagenham,54
Hackney,162
Greenwich,148
Waltham Forest,115
Lambeth,78
Bexley,34
Southwark,130
Wandsworth,67
Westminster,820
Westminster,100
Lewisham,97
Westminster,149
Hounslow,1008
Southwark,69
Westminster,285
Greenwich,38
Kensington and Chelsea,229
Westminster,150
Lambeth,275
Southwark,80
Barking and Dagenham,25
Merton,342
Hounslow,343
Westminster,188
Bromley,120
Kensington and Chelsea,150
Westminster,413
Kensington and Chelsea,119
Tower Hamlets,190
Westminster,171
Southwark,78
Westminster,220
Waltham Forest,225
Haringey,36
Haringey,175
Camden,72
Hackney,208
Bexley,81
Barnet,56
Hackney,113
Camden,86
Tower Hamlets,240
Tower Hamlets,131
Camden,92
Camden,91
Westminster,1800
Brent,45
Kensington and Chelsea,157
Tower Hamlets,145
Lewisham,112
Camden,100
Wandsworth,792
Islington,125
Ealing,87
Camden,82
Islington,198
Newham,86
Wandsworth,68
Enfield,232
Barking and Dagenham,196
Barking and Dagenham,156
Westminster,259
Greenwich,170
Barnet,95
Ealing,42
Islington,567
Westminster,522
Merton,214
Wandsworth,130
Croydon,45
Brent,568
Hillingdon,45
Camden,154
Redbridge,54
Hammersmith and Fulham,257
Westminster,151
Westminster,111
Barking and Dagenham,307
Kensington and Chelsea,188
Hillingdon,89
Richmond upon Thames,80
Kensington and Chelsea,208
Wandsworth,106
Hammersmith and Fulham,53
Westminster,277
Camden,156
Hillingdon,77
Brent,210
Lambeth,132
Wandsworth,145
Wandsworth,127
Wandsworth,45
Richmond upon Thames,220
Southwark,111
Tower Hamlets,344
Southwark,158
Tower Hamlets,161
Islington,419
Westminster,140
Hackney,83
Islington,713
Merton,201
Waltham Forest,900
Westminster,85
Camden,354
Lambeth,47
Southwark,74
Camden,230
Croydon,46
Wandsworth,165
Westminster,820
Ealing,422
Tower Hamlets,60
Islington,114
Westminster,170
Newham,79
Kensington and Chelsea,174
Hounslow,196
Kensington and Chelsea,171
Richmond upon Thames,92
Southwark,124
Lambeth,98
Islington,316
Hackney,57
Hammersmith and Fulham,62
Brent,50
Hounslow,162
Westminster,217
Barnet,149
Barnet,207
Hammersmith and Fulham,149
Greenwich,51
Wandsworth,485
Kensington and Chelsea,240
Hackney,72
Kensington and Chelsea,600
Lambeth,45
Westminster,363
Camden,43
Kensington and Chelsea,77
Wandsworth,75
Westminster,120
Hackney,250
Kensington and Chelsea,113
Kensington and Chelsea,102
Lambeth,72
Westminster,164
Westminster,288
Hammersmith and Fulham,138
Merton,96
Camden,247
Haringey,86
Westminster,135
Westminster,125
Westminster,188
Hackney,128
Westminster,240
Brent,300
Croydon,143
Wandsworth,51
Southwark,56
Hammersmith and Fulham,150
Camden,347
Tower Hamlets,52
Waltham Forest,70
Greenwich,76
Camden,177
Sutton,41
Hounslow,161
Tower Hamlets,90
Hackney,120
Barnet,96
Wandsworth,316
Croydon,200
Merton,108
Hackney,225
Richmond upon Thames,81
Islington,58
Lambeth,287
Kensington and Chelsea,98
Ealing,42
Hackney,47
Bromley,179
Wandsworth,114
Westminster,49
Hounslow,132
Kensington and Chelsea,225
Wandsworth,374
Lewisham,131
Hammersmith and Fulham,149
Hackney,53
Wandsworth,96
Hammersmith and Fulham,120
Croydon,255
Barnet,150
Lambeth,51
Greenwich,31
Westminster,160
Kensington and Chelsea,317
Kingston upon Thames,251
Tower Hamlets,200
Kensington and Chelsea,249
Tower Hamlets,88
Barnet,151
Kensington and Chelsea,597
Ealing,70
Westminster,128
Barnet,137
Waltham Forest,76
Enfield,101
Southwark,165
Kensington and Chelsea,81
Bexley,37
Brent,138
Barnet,196
Richmond upon Thames,124
Islington,200
Waltham Forest,80
Camden,188
Westminster,113
Newham,80
Lewisham,165
Wandsworth,242
Hackney,500
Camden,99
Newham,67
Kensington and Chelsea,151
Croydon,82
Brent,54
Wandsworth,70
Camden,60
Barnet,134
Hackney,209
Kensington and Chelsea,803
Southwark,384
Hillingdon,138
Haringey,140
Enfield,169
Hillingdon,3300
Brent,162
Enfield,169
Haringey,144
Enfield,85
Kensington and Chelsea,581
Kensington and Chelsea,116
Westminster,281
Kensington and Chelsea,95
Brent,102
Westminster,120
Hackney,189
Camden,100
Enfield,67
Tower Hamlets,131
Greenwich,171
Sutton,70
Wandsworth,200
Greenwich,144
Hackney,156
Brent,65
Brent,61
Greenwich,137
Westminster,215
Richmond upon Thames,148
Westminster,690
Hackney,40
Kensington and Chelsea,292
Sutton,41
Newham,127
Tower Hamlets,137
Ealing,134
Haringey,28
Wandsworth,34
Westminster,180
Brent,147
Waltham Forest,81
Lewisham,36
Greenwich,65
Tower Hamlets,92
Bromley,144
Southwark,82
Wandsworth,81
Westminster,440
Hammersmith and Fulham,550
Haringey,266
Hammersmith and Fulham,200
Merton,150
Barnet,57
Westminster,269
Wandsworth,274
Westminster,202
Barnet,56
Westminster,222
Barnet,200
Bexley,140
Hackney,83
Hackney,46
Hackney,387
Brent,102
Barnet,42
Westminster,225
Kensington and Chelsea,49
Kingston upon Thames,159
Hammersmith and Fulham,138
Barking and Dagenham,64
Brent,165
Hammersmith and Fulham,83
Hackney,100
Hammersmith and Fulham,750
Kensington and Chelsea,60
Southwark,209
Redbridge,246
Kensington and Chelsea,400
Kensington and Chelsea,140
Barnet,388
Hammersmith and Fulham,115
Camden,180
Southwark,100
Wandsworth,457
Haringey,80
Kensington and Chelsea,1000
Hackney,75
Hackney,175
Tower Hamlets,197
Westminster,161
Tower Hamlets,90
Sutton,54
Sutton,60
Ealing,210
Richmond upon Thames,196
Camden,144
Tower Hamlets,180
Hackney,150
Islington,120
Westminster,237
Hammersmith and Fulham,112
Kensington and Chelsea,174
Lewisham,51
Ealing,50
Camden,200
Wandsworth,72
Greenwich,27
Lambeth,160
Hillingdon,66
Hillingdon,93
Hammersmith and Fulham,124
Westminster,214
Hackney,50
Islington,59
Wandsworth,275
Westminster,270
Westminster,295
Hackney,82
Lewisham,72
Hackney,238
Waltham Forest,80
Westminster,93
Enfield,199
Southwark,187
Croydon,65
Harrow,126
Hammersmith and Fulham,118
Tower Hamlets,153
Hackney,166
Hackney,119
Hackney,67
Haringey,166
Kensington and Chelsea,192
Barnet,87
Westminster,240
Wandsworth,43
Kensington and Chelsea,170
Westminster,156
Richmond upon Thames,600
Redbridge,205
Hackney,95
Lambeth,168
Kensington and Chelsea,87
Camden,179
Southwark,122
Hammersmith and Fulham,154
Lambeth,215
Enfield,164
Hackney,258
Tower Hamlets,60
Hillingdon,33
Lambeth,171
Ealing,595
Hammersmith and Fulham,84
Westminster,135
Tower Hamlets,93
Hackney,39
Newham,24
Greenwich,85
Hackney,137
Bexley,105
Lewisham,27
Westminster,136
Westminster,148
Westminster,129
Croydon,30
Lambeth,37
Tower Hamlets,163
Enfield,45
Sutton,30
Tower Hamlets,246
Westminster,180
Hammersmith and Fulham,133
Westminster,232
Kensington and Chelsea,75
Richmond upon Thames,145
Kensington and Chelsea,300
Southwark,140
Westminster,350
Ealing,150
Southwark,192
Westminster,357
Brent,37
Hillingdon,48
Hackney,141
Southwark,170
Southwark,180
Lewisham,81
Kingston upon Thames,45
Ealing,33
Croydon,107
Barking and Dagenham,227
Hillingdon,149
Hammersmith and Fulham,245
Kensington and Chelsea,426
Bexley,83
Wandsworth,60
Croydon,34
Lambeth,39
Kensington and Chelsea,249
Brent,63
Bromley,201
Brent,401
Southwark,201
Kensington and Chelsea,329
Hackney,55
Hackney,175
Kensington and Chelsea,35
Kensington and Chelsea,70
Enfield,135
Hammersmith and Fulham,110
Southwark,65
Westminster,208
Ealing,38
Greenwich,180
Havering,500
Hounslow,111
Westminster,281
Kensington and Chelsea,300
Haringey,37
Hammersmith and Fulham,159
Hackney,51
Hackney,184
Greenwich,180
Haringey,60
Lambeth,117
Lambeth,201
Lambeth,199
Lambeth,230
Tower Hamlets,49
Islington,91
Barnet,69
Southwark,420
Hackney,108
Southwark,113
Islington,144
Southwark,59
Enfield,94
Harrow,107
Haringey,48
Newham,358
Southwark,201
Bromley,189
Westminster,238
Southwark,201
Haringey,70
Barnet,120
Redbridge,40
Haringey,119
Bromley,180
Barnet,56
Westminster,362
Brent,65
Hammersmith and Fulham,190
Lewisham,126
Ealing,60
Hounslow,200
Haringey,68
Waltham Forest,45
Kingston upon Thames,97
Wandsworth,140
Hackney,73
Hackney,72
Haringey,82
Haringey,76
Haringey,66
Southwark,486
Westminster,150
Havering,79
Waltham Forest,33
Camden,120
Islington,94
Harrow,68
Islington,323
Newham,60
Brent,48
Kensington and Chelsea,117
Kensington and Chelsea,131
Kensington and Chelsea,80
Westminster,199
Camden,230
Waltham Forest,108
Lewisham,100
Westminster,274
Kensington and Chelsea,83
Lambeth,130
Islington,343
Islington,144
Islington,165
Enfield,114
Barking and Dagenham,30
Lewisham,211
Greenwich,38
Greenwich,33
Wandsworth,396
Tower Hamlets,42
Greenwich,69
Havering,161
Havering,218
Lewisham,50
Hackney,63
Redbridge,186
Lewisham,72
Hounslow,165
Barking and Dagenham,40
Southwark,51
Westminster,115
Tower Hamlets,198
Waltham Forest,406
Waltham Forest,205
Waltham Forest,197
Tower Hamlets,205
Southwark,238
Kensington and Chelsea,171
Kensington and Chelsea,1358
Wandsworth,187
Kensington and Chelsea,77
Hammersmith and Fulham,65
Kensington and Chelsea,1224
Brent,100
Kingston upon Thames,270
Kensington and Chelsea,77
Westminster,344
Westminster,147
Greenwich,82
Tower Hamlets,275
Tower Hamlets,201
Camden,141
Ealing,45
Brent,347
Westminster,270
Hammersmith and Fulham,300
Southwark,138
Westminster,128
Greenwich,135
Merton,76
Westminster,102
Westminster,89
Newham,54
Enfield,70
Camden,248
Tower Hamlets,236
Camden,278
Tower Hamlets,156
Hammersmith and Fulham,132
Bexley,56
Lewisham,81
Tower Hamlets,115
Kensington and Chelsea,234
Lewisham,81
Westminster,114
Tower Hamlets,90
Richmond upon Thames,43
Wandsworth,234
Havering,45
Croydon,175
Westminster,537
Southwark,161
Southwark,174
Brent,150
Westminster,151
Tower Hamlets,171
Waltham Forest,99
Kensington and Chelsea,67
Kensington and Chelsea,1132
Richmond upon Thames,84
Bexley,62
Camden,338
Bromley,67
Tower Hamlets,379
Kensington and Chelsea,66
Kensington and Chelsea,96
Kensington and Chelsea,70
Hackney,91
Hackney,252
Bexley,62
Ealing,131
Islington,128
Lewisham,136
Haringey,360
Camden,393
Lambeth,225
Wandsworth,240
Hammersmith and Fulham,100
Hammersmith and Fulham,90
Ealing,162
Tower Hamlets,258
Lewisham,48
Westminster,266
Islington,61
Greenwich,81
Ealing,195
Brent,35
Hackney,87
Hackney,192
Hackney,66
Southwark,51
Greenwich,46
Southwark,40
Hackney,160
Greenwich,329
Southwark,205
Lambeth,65
Islington,191
Lewisham,90
Islington,170
Waltham Forest,142
Lewisham,70
Newham,100
Hammersmith and Fulham,79
Ealing,200
Islington,198
Havering,76
Hammersmith and Fulham,117
Southwark,182
Islington,80
Wandsworth,61
Croydon,56
Tower Hamlets,156
Southwark,70
Greenwich,390
Hillingdon,100
Barnet,88
Barnet,92
Brent,52
Haringey,179
Hillingdon,67
Camden,138
Camden,144
Ealing,110
Islington,179
Bromley,107
Westminster,438
Croydon,300
Bromley,108
Hammersmith and Fulham,110
Hammersmith and Fulham,288
Ealing,400
Tower Hamlets,271
Hammersmith and Fulham,185
Hackney,78
Hackney,119
Wandsworth,1000
Newham,500
Brent,101
Brent,285
Richmond upon Thames,125
Barnet,88
Newham,80
Westminster,260
Greenwich,150
Tower Hamlets,165
Hammersmith and Fulham,140
Redbridge,250
Islington,316
City of London,858
Kensington and Chelsea,115
Camden,318
Hackney,121
Greenwich,40
Newham,223
Lambeth,49
Greenwich,70
Islington,54
Greenwich,89
Barking and Dagenham,36
Ealing,64
Camden,360
Camden,69
Lewisham,149
Haringey,44
Brent,428
Southwark,170
Camden,203
Barking and Dagenham,65
Kensington and Chelsea,153
Westminster,298
Barnet,70
Greenwich,32
Newham,366
Richmond upon Thames,573
Ealing,327
Lambeth,110
Lewisham,125
Westminster,281
Kensington and Chelsea,221
Hammersmith and Fulham,210
Ealing,69
Kingston upon Thames,238
Hammersmith and Fulham,150
Tower Hamlets,66
Greenwich,96
Islington,176
Kensington and Chelsea,185
Islington,249
Wandsworth,72
Ealing,96
Tower Hamlets,162
Hackney,201
Tower Hamlets,220
Islington,79
Lambeth,62
Westminster,113
Kensington and Chelsea,358
Westminster,586
Barnet,155
Wandsworth,35
Brent,145
Barnet,117
Westminster,161
Ealing,199
Southwark,70
Southwark,77
Southwark,67
Kingston upon Thames,69
Brent,98
Westminster,366
Kensington and Chelsea,147
Westminster,417
Bromley,74
Westminster,283
Islington,109
Ealing,46
Westminster,74
Haringey,149
Westminster,73
Lewisham,133
Newham,170
Havering,41
Croydon,73
Westminster,225
Kensington and Chelsea,103
Camden,357
Newham,183
Westminster,103
Wandsworth,163
Islington,133
Newham,153
Bexley,38
Ealing,251
Brent,176
Lambeth,170
Westminster,208
Camden,80
Croydon,56
Haringey,102
Haringey,225
Southwark,125
Kensington and Chelsea,159
Kensington and Chelsea,346
Southwark,74
Southwark,91
Lewisham,72
Newham,30
Newham,229
Tower Hamlets,198
Camden,201
Tower Hamlets,115
Ealing,42
Islington,49
Kensington and Chelsea,217
Southwark,66
Southwark,69
Southwark,73
Islington,1000
Westminster,136
Westminster,152
Merton,251
Westminster,500
Camden,204
Kensington and Chelsea,92
Sutton,59
Sutton,54
Westminster,364
Hammersmith and Fulham,215
Hillingdon,45
Westminster,260
Tower Hamlets,201
Hillingdon,229
Haringey,54
Southwark,508
Hackney,125
Hammersmith and Fulham,772
Ealing,45
Westminster,224
Islington,102
Lambeth,68
Hammersmith and Fulham,173
Wandsworth,57
Haringey,146
Tower Hamlets,175
Tower Hamlets,304
Newham,171
City of London,152
Camden,214
Kensington and Chelsea,199
Westminster,887
Ealing,277
Islington,120
Kensington and Chelsea,180
Tower Hamlets,126
Kensington and Chelsea,610
Havering,50
Westminster,61
Westminster,297
Hackney,429
Hammersmith and Fulham,117
